sat.Earth.RadPer          sat.Earth.RadApo          sat.Earth.Energy          sat.Earth.SMA             sat.Earth.SemilatusRectum   sat.Earth.HMAG            sat.EarthMJ2000Eq.HX      sat.EarthMJ2000Eq.HY      sat.EarthMJ2000Eq.HZ      sat.EarthMJ2000Eq.X       sat.EarthMJ2000Eq.Y       sat.EarthMJ2000Eq.Z       sat.EarthMJ2000Eq.VX      sat.EarthMJ2000Eq.VY      sat.EarthMJ2000Eq.VZ      
14999.99999999988         105000.0000000191         -3.321670345832808        60000.0000000095          26250.0000000004            102290.085489138          -71104.59089498808        -52835.43645781442        51145.04274456904         23223.75249379806         12347.41939175781         45042.42423482575         -0.1319235066952502       2.132132948497224         2.019194870218498         
14999.99999999992         105000.0000000146         -3.321670345832931        60000.00000000727         26250.00000000034           102290.0854891379         -71104.59089498802        -52835.43645781435        51145.04274456897         22938.53240624549         15677.75199678772         48086.29927611739         -0.22536114938861         2.075629150615582         1.83092152711866          
14999.99999999999         105000.0000000101         -3.321670345833053        60000.00000000506         26250.00000000029           102290.0854891378         -71104.59089498795        -52835.43645781428        51145.04274456893         22472.66237956542         19222.37007332504         51100.3928660412          -0.3090042282169496       2.011566246670712         1.648456171901813         
15000.00000000005         105000.0000000057         -3.321670345833176        60000.00000000285         26250.00000000023           102290.0854891377         -71104.59089498788        -52835.43645781421        51145.04274456887         21811.17443628519         22982.54672939133         54065.21090227093         -0.3836677295509372       1.940628247472494         1.471372384691873         
15000.00000000009         105000.0000000013         -3.321670345833294        60000.00000000071         26250.00000000018           102290.0854891376         -71104.59089498781        -52835.43645781416        51145.0427445688          20937.5977694061          26956.9168648125          56956.44456443731         -0.4500369816067962       1.86331945407364          1.299238354016369         
15000.00000000014         104999.9999999972         -3.321670345833407        59999.99999999868         26250.00000000011           102290.0854891374         -71104.59089498772        -52835.4364578141         51145.04274456875         19834.24030875403         31140.05316542875         59743.89069224656         -0.5086755348469471       1.779995552937804         1.131638043943213         
15000.00000000019         104999.9999999933         -3.321670345833513        59999.99999999676         26250.00000000004           102290.0854891373         -71104.5908949876         -52835.43645781405        51145.0427445687          18482.33775937375         35521.85100541037         62391.02355941259         -0.5600460747456802       1.690866703560699         0.9681453096984239        
15000.0000000002          104999.9999999906         -3.321670345833589        59999.99999999539         26250.00000000002           102290.0854891373         -71104.59089498757        -52835.43645781402        51145.04274456868         16909.32236268319         39961.94527134603         64790.97662650401         -0.6034134272548725       1.598613345279245         0.8125512602886277        
15000.00000000021         104999.9999999895         -3.321670345833618        59999.99999999486         26250.00000000002           102290.0854891373         -71104.59089498756        -52835.43645781402        51145.04274456868         15232.1624089843          44157.10234634292         66793.10972090259         -0.6375786457648029       1.5093994281553           0.6728904104577829        
15000.00000000023         104999.9999999891         -3.321670345833629        59999.99999999467         26250.00000000004           102290.0854891373         -71104.59089498759        -52835.43645781404        51145.04274456868         13472.88643665593         48115.22254415475         68436.20952902647         -0.6645160241835          1.422984335759103         0.5461694215261901        
15000.00000000024         104999.9999999889         -3.321670345833633        59999.99999999458         26250.00000000003           102290.0854891373         -71104.59089498757        -52835.43645781404        51145.04274456867         11648.99331913972         51843.47353686236         69752.00849712799         -0.6856439347775852       1.339075328559698         0.4301139811773591        
15000.00000000026         104999.9999999888         -3.321670345833635        59999.99999999455         26250.00000000004           102290.0854891373         -71104.59089498759        -52835.43645781405        51145.04274456868         9774.692504335793         55348.2099692511          70766.82603640159         -0.7020039898189585       1.257367278956885         0.3229607716084872        
15000.00000000025         104999.9999999888         -3.321670345833637        59999.99999999453         26250.00000000003           102290.0854891373         -71104.59089498757        -52835.43645781404        51145.04274456867         7861.756493698045         58634.96793764897         71502.74798165815         -0.7143748357718243       1.17756091288829          0.223318111237636         
15000.00000000025         104999.9999999888         -3.321670345833637        59999.99999999452         26250.00000000004           102290.0854891373         -71104.59089498757        -52835.43645781405        51145.04274456868         5920.123382426907         61708.49267787129         71978.49287818624         -0.7233466977192314       1.099370388819673         0.1300701485135511        
15000.00000000025         104999.9999999888         -3.321670345833637        59999.99999999453         26250.00000000006           102290.0854891373         -71104.59089498763        -52835.43645781407        51145.04274456868         3958.333585399032         64572.778673234           72210.06057526523         -0.7293715180498955       1.022525527889297         0.04230946026775206       
15000.00000000028         104999.9999999888         -3.321670345833636        59999.99999999454         26250.00000000007           102290.0854891373         -71104.59089498766        -52835.43645781407        51145.04274456867         1983.853826658345         67231.11175409521         72211.22614476443         -0.7327974423840899       0.9467713685803937        -0.04071135252160997      
15000.00000000027         104999.9999999888         -3.321670345833636        59999.99999999454         26250.00000000007           102290.0854891373         -71104.59089498766        -52835.43645781407        51145.04274456867         3.322885699381189         69686.10801061138         71993.92172971238         -0.7338929822907593       0.8718664098660501        -0.1196150719603486       
15000.00000000029         104999.9999999888         -3.321670345833635        59999.99999999456         26250.00000000009           102290.0854891374         -71104.59089498769        -52835.43645781411        51145.04274456869         -1977.257871992882        71939.74702191383         71568.53575754052         -0.7328641916502541       0.7975802380194799        -0.194926194368063        
15000.00000000027         104999.9999999888         -3.321670345833636        59999.99999999454         26250.00000000007           102290.0854891374         -71104.59089498766        -52835.43645781409        51145.04274456867         -3952.373413654046        73993.39825960367         70944.1502575779          -0.7298669964792283       0.7236908821869671        -0.2670908036922242       
15000.00000000027         104999.9999999888         -3.321670345833636        59999.99999999454         26250.00000000007           102290.0854891373         -71104.59089498766        -52835.43645781408        51145.04274456867         -5916.87234158222         75847.84017648577         70128.73116157427         -0.7250160778265539       0.6499820563601929        -0.3364917701713124       
15000.00000000028         104999.9999999888         -3.321670345833635        59999.99999999455         26250.00000000007           102290.0854891374         -71104.59089498769        -52835.43645781407        51145.04274456867         -7865.864610924946        77503.27176463675         69129.28244201037         -0.7183912368278297       0.5762403423950037        -0.4034605094613617       
15000.00000000027         104999.9999999888         -3.321670345833636        59999.99999999454         26250.00000000007           102290.0854891373         -71104.59089498766        -52835.43645781406        51145.04274456868         -9794.633759780814        78959.31642795879         67951.97213507989         -0.7100418634619148       0.5022523098125776        -0.4682861707340106       
15000.00000000027         104999.9999999888         -3.321670345833637        59999.99999999453         26250.00000000006           102290.0854891373         -71104.59089498765        -52835.43645781405        51145.04274456866         -11698.55912927696        80215.01795028683         66602.23630937275         -0.6999899232573882       0.4278015317303397        -0.531222871652048        
15000.00000000027         104999.9999999888         -3.321670345833636        59999.99999999454         26250.00000000005           102290.0854891373         -71104.59089498765        -52835.43645781404        51145.04274456867         -13573.04446299893        81268.82819401954         65084.8656228488          -0.6882317310967746       0.3526654304166438        -0.592495423110329        
15000.00000000026         104999.9999999888         -3.321670345833637        59999.99999999453         26250.00000000004           102290.0854891373         -71104.59089498763        -52835.43645781404        51145.04274456867         -15413.44985101743        82118.58595421395         63404.07809311643         -0.6747386744102153       0.276611863523697         -0.6523038612539566       
15000.00000000025         104999.9999999888         -3.321670345833637        59999.99999999451         26250.00000000004           102290.0854891373         -71104.5908949876         -52835.43645781405        51145.04274456866         -17215.02430427975        82761.48612157628         61563.58097993955         -0.6594569635800892       0.1993953382736944        -0.7108270114160695       
15000.00000000027         104999.9999999887         -3.321670345833637        59999.99999999451         26250.00000000005           102290.0854891373         -71104.59089498762        -52835.43645781407        51145.04274456868         -18972.83635471689        83194.03796593513         59566.62417340476         -0.6423064139459292       0.1207527119392999        -0.7682252364183768       
15000.00000000028         104999.9999999888         -3.321670345833637        59999.99999999453         26250.00000000007           102290.0854891374         -71104.59089498765        -52835.43645781408        51145.04274456869         -20681.69999222081        83412.01092062473         57416.04715282551         -0.623178192253555        0.0403981990597619        -0.8246424613637399       
15000.00000000028         104999.9999999888         -3.321670345833636        59999.99999999454         26250.00000000007           102290.0854891374         -71104.59089498765        -52835.43645781408        51145.04274456869         -22336.09296512785        83410.36569760463         55114.32140821392         -0.601931382065007        -0.04198254561018834      -0.8802075112996536       
15000.00000000028         104999.9999999888         -3.321670345833636        59999.99999999454         26250.00000000007           102290.0854891374         -71104.59089498766        -52835.43645781407        51145.04274456869         -23930.06395495447        83183.16784866454         52663.5901952766          -0.5783881277821716       -0.1267395705794402       -0.9350347397566361       
15000.00000000028         104999.9999999888         -3.321670345833636        59999.99999999454         26250.00000000007           102290.0854891373         -71104.59089498765        -52835.43645781407        51145.04274456869         -25457.12432802762        82723.47994529131         50065.70764443006         -0.5523269928754866       -0.2142673994086955       -0.989223856704709        
15000.00000000028         104999.9999999888         -3.321670345833636        59999.99999999454         26250.00000000007           102290.0854891373         -71104.59089498763        -52835.43645781408        51145.04274456869         -26910.1189646368         82023.22728505406         47322.27960891458         -0.5234739965279124       -0.3050159741148106       -1.042858772308032        
15000.00000000026         104999.9999999888         -3.321670345833637        59999.99999999452         26250.00000000005           102290.0854891373         -71104.59089498762        -52835.43645781407        51145.04274456867         -28281.06890812881        81073.03030802432         44434.70930010982         -0.4914905466053297       -0.3995045166160549       -1.096005140270528        
15000.00000000026         104999.9999999888         -3.321670345833637        59999.99999999451         26250.00000000004           102290.0854891373         -71104.59089498762        -52835.43645781405        51145.04274456867         -29560.97600523908        79861.99451750473         41404.25186446298         -0.4559571218297646       -0.4983393504386303       -1.14870608264628         
