sat.Earth.RadPer          sat.Earth.RadApo          sat.Earth.Energy          sat.Earth.SMA             sat.Earth.SemilatusRectum   sat.EarthMJ2000Eq.HX      sat.EarthMJ2000Eq.HY      sat.EarthMJ2000Eq.HZ      sat.Earth.HMAG            sat.EarthMJ2000Eq.X       sat.EarthMJ2000Eq.Y       sat.EarthMJ2000Eq.Z       
15000.00000000003         105000                    -3.321670345833334        60000                     26250.00000000006           1.088384742481032e-13     2.453995856018681e-13     102290.0854891373         102290.0854891373         95308.84398704421         -30696.29480742658        -2.776819594062e-14       
15000.00000000005         105000                    -3.321670345833333        60000.00000000001         26250.00000000007           1.067330747394602e-13     2.39996362312665e-13      102290.0854891373         102290.0854891373         94667.7320068259          -27593.46867625716        -3.403893928878678e-14    
15000.00000000001         104999.9999999999         -3.321670345833335        59999.99999999998         26250.00000000006           1.282621636641883e-13     3.139733404193702e-13     102290.0854891373         102290.0854891373         93739.56666563379         -24407.04638844512        -4.262463694577703e-14    
15000.00000000003         104999.9999999999         -3.321670345833335        59999.99999999998         26250.00000000005           1.430720410375125e-13     3.750919374259422e-13     102290.0854891373         102290.0854891373         92511.52797991672         -21142.63619300108        -5.186603110449467e-14    
15000.00000000003         104999.9999999999         -3.321670345833335        59999.99999999996         26250.00000000004           1.354677820405237e-13     3.398586119812638e-13     102290.0854891373         102290.0854891373         90968.72206229228         -17806.40063982981        -6.131261282082673e-14    
15000.00000000005         104999.9999999999         -3.321670345833336        59999.99999999996         26250.00000000005           1.399217337832661e-13     3.654157531394588e-13     102290.0854891373         102290.0854891373         89093.7845513526          -14405.29206773892        -7.04099143056848e-14     
15000.00000000002         104999.9999999998         -3.321670345833339        59999.9999999999          26250.00000000004           1.378998095387246e-13     3.474751886863701e-13     102290.0854891373         102290.0854891373         86866.37022789428         -10947.3675909625         -7.991896038962982e-14    
15000.00000000003         104999.9999999996         -3.321670345833344        59999.9999999998          26250.00000000004           1.387149949787851e-13     3.552006563895671e-13     102290.0854891373         102290.0854891373         84262.48764797352         -7442.221691544425        -8.842487986888884e-14    
15000.00000000004         104999.9999999991         -3.321670345833358        59999.99999999956         26250.00000000002           1.378633718851715e-13     3.413052255865462e-13     102290.0854891373         102290.0854891373         81253.61880953859         -3901.596250942884        -9.649285784816239e-14    
15000.00000000003         104999.9999999978         -3.321670345833393        59999.99999999893         26249.99999999999           1.376481171050807e-13     3.341808806343297e-13     102290.0854891372         102290.0854891372         77805.53462781986         -340.2649276119838        -1.035884881515763e-13    
15000.00000000003         104999.9999999945         -3.321670345833486        59999.99999999725         26249.99999999985           1.377276163487056e-13     3.299182838000545e-13     102290.0854891369         102290.0854891369         73876.67048756215         3222.645635950872         -1.098646793948844e-13    
14999.99999999995         104999.9999999846         -3.321670345833761        59999.99999999227         26249.99999999945           1.391981833541019e-13     3.151904589632826e-13     102290.0854891362         102290.0854891362         69415.85043635705         6761.614374064247         -1.152971625570452e-13    
14999.99999999978         104999.9999999526         -3.321670345834651        59999.99999997619         26249.99999999816           1.498986492196834e-13     2.359422464693094e-13     102290.0854891336         102290.0854891336         64359.02270845322         10241.44670873514         -1.179363616225767e-13    
14999.9999999997          104999.9999999393         -3.32167034583502         59999.99999996953         26249.99999999765           1.426733631126257e-13     2.813115825472813e-13     102290.0854891326         102290.0854891326         59729.78405966243         13005.69991758143         -1.190780429744277e-13    
14999.99999999954         104999.9999998999         -3.321670345836116        59999.99999994973         26249.99999999616           1.039538709127919e-13     4.464924734771025e-13     102290.0854891297         102290.0854891297         54617.86613135671         15646.01103399543         -1.238005102001367e-13    
14999.99999999951         104999.9999998859         -3.321670345836505        59999.99999994271         26249.99999999566           8.319253331585269e-14     5.126339020554951e-13     102290.0854891288         102290.0854891288         50062.34299133492         17665.55370543092         -1.292478621162881e-13    
14999.99999999931         104999.9999998475         -3.321670345837575        59999.99999992339         26249.99999999422           7.690801894181329e-14     5.262647466544044e-13     102290.085489126          102290.085489126          45109.97572345049         19526.31299095514         -1.343759657737767e-13    
14999.99999999929         104999.9999998349         -3.321670345837925        59999.99999991707         26249.99999999374           1.500461909189982e-13     3.722790286944637e-13     102290.085489125          102290.085489125          40724.34968495996         20893.36932312854         -1.357775459785604e-13    
14999.99999999902         104999.9999998083         -3.321670345838667        59999.99999990366         26249.9999999925            2.146129434335482e-13     2.507610257897816e-13     102290.0854891226         102290.0854891226         36012.22367048324         22072.66420361287         -1.296670461824132e-13    
14999.99999999853         104999.9999997957         -3.32167034583903         59999.9999998971          26249.99999999136           8.55759637966835e-14      4.611860870251898e-13     102290.0854891204         102290.0854891204         31371.44313942872         22939.19272837959         -1.296692436304424e-13    
14999.99999999829         104999.9999998019         -3.321670345838863        59999.99999990011         26249.99999999119           9.673261948662596e-14     4.452853124613585e-13     102290.0854891201         102290.0854891201         27372.65723259923         23445.16482521591         -1.279460889952548e-13    
14999.99999999807         104999.9999998132         -3.321670345838557        59999.99999990565         26249.99999999122           1.87507095885067e-13      3.430681202688768e-13     102290.0854891201         102290.0854891201         23728.42533585223         23704.16341258618         -1.229971687773369e-13    
14999.99999999786         104999.9999998279         -3.321670345838156        59999.9999999129          26249.99999999136           3.298990261962214e-13     2.070937065955005e-13     102290.0854891204         102290.0854891204         20345.14758293784         23762.80440222993         -1.137253093744707e-13    
14999.99999999763         104999.9999998463         -3.321670345837655        59999.99999992194         26249.99999999158           7.986460182172368e-14     4.056396227975512e-13     102290.0854891208         102290.0854891208         17165.68378737758         23647.93858761256         -1.071801957821354e-13    
