DefaultSC.Venus.SMA       DefaultSC.Venus.ECC       DefaultSC.VenusMJ200Eq.INC   DefaultSC.VenusMJ200Eq.RAAN   DefaultSC.VenusMJ200Eq.AOP   DefaultSC.Venus.RadPer    DefaultSC.Venus.RadApo    DefaultSC.Venus.OrbitPeriod   DefaultSC.Venus.TA        DefaultSC.Venus.EA        
48414.99922889329         0.6999999941985893        30.00000000000312            59.99999999998516             90.00000219025297            14524.50004954328         82305.49840824329         117436.35926229               233.4652705498207         280.3397145955735         
48414.99904530129         0.6999999928165525        30.00000000000032            60.0000000000198              90.00000226712557            14524.500061377           82305.49802922559         117436.3585943035             238.0763635912215         285.7731803454324         
48414.99883847032         0.6999999912609964        30.00000000000484            59.99999999998296             90.00000233912353            14524.50007463995         82305.4976023007          117436.3578417637             243.0071733266499         291.1450770850296         
48414.99864276638         0.6999999897883274        30.00000000000637            59.99999999997853             90.00000239469887            14524.50008722803         82305.49719830473         117436.3571297088             247.4816682115643         295.6669502901667         
48414.99843896399         0.6999999882550738        30.00000000000564            59.99999999998639             90.00000244104389            14524.50010031978         82305.49677760819         117436.3563881883             251.9911954735572         299.9193116103253         
48414.99822561991         0.6999999866498124        30.00000000000494            59.99999999999197             90.00000247799241            14524.50011403528         82305.49633720456         117436.355611951              256.5927729483214         303.9751503105193         
48414.99800118866         0.699999984960375         29.99999999999849            60.00000000001687             90.00000250485641            14524.50012850001         82305.49587387731         117436.3547953738             261.3421608542064         307.8927517864978         
48414.99776402217         0.6999999831764647        30.0000000000007             60.00000000000837             90.0000025207415             14524.50014371807         82305.49538432626         117436.3539324604             266.2933709699867         311.7181531225218         
48414.99751408858         0.6999999812957987        30.00000000000161            60.00000000000544             90.00000252371983            14524.50015979044         82305.49486838673         117436.3530230948             271.4846235391552         315.4777357271377         
48414.99723082651         0.6999999791646569        30.00000000000742            59.99999999999141             90.00000251023441            14524.50017799103         82305.494283662           117436.3519924659             277.3825983538297         319.4751475872429         
48414.99696835635         0.699999977189435         30.0000000000054             59.99999999999726             90.00000248123816            14524.50019488034         82305.49374183237         117436.3510374869             282.9222459757263         322.9979122169055         
48414.99668151874         0.6999999750310149        29.99999999999335            60.00000000002034             90.00000243047023            14524.50021332895         82305.49314970852         117436.3499938486             289.1194580618603         326.7084801800944         
48414.99642953857         0.699999973134777         30.00000000000035            60.00000000000716             90.00000236791651            14524.50022954125         82305.4926295359          117436.3490770366             294.7632480861196         329.9042641579376         
48414.9961658415          0.6999999711505903        29.99999999998377            60.00000000003025             90.0000022820437             14524.50024649651         82305.49208518649         117436.3481175936             300.9568506760476         333.2382405982364         
48414.99591330755         0.6999999692514863        30.00000000000075            60.00000000000609             90.00000217693977            14524.50026268143         82305.49156393367         117436.3471987668             307.2814587967549         336.4825186873157         
48414.99567837919         0.6999999674828813        29.99999999999479            60.00000000001206             90.00000205311839            14524.50027782992         82305.49107892846         117436.3463439966             313.7069285428822         339.6381811411642         
48414.99546235574         0.6999999658576439        29.9999999999935             60.00000000001198             90.00000191053563            14524.50029170874         82305.49063300273         117436.3455580107             320.2826349134527         342.7451115848092         
48414.99526848418         0.6999999643992413        30.00000000001062            59.99999999999857             90.00000174826882            14524.50030415582         82305.49023281255         117436.3448526228             327.0766846554433         345.8482695727845         
48414.99510082251         0.6999999631378742        30.00000000000053            60.00000000000544             90.00000156492258            14524.5003149264          82305.48988671863         117436.3442425977             334.1723916793669         348.9966427619959         
48414.99496498336         0.6999999621156408        29.99999999998746            60.00000000001021             90.00000135851569            14524.50032366607         82305.48960630065         117436.3437483566             341.6807676256253         352.2499844288368         
48414.99487218379         0.6999999614175414        30.0000000000148             60.00000000000189             90.00000113705299            14524.50032962467         82305.48941474291         117436.343410712              349.3955137742336         355.5347252916557         
48414.994828847           0.6999999610915654        30.00000000000176            60.00000000000474             90.00000091389528            14524.50033240576         82305.48932528825         117436.3432530342             356.9750257712973         358.7290134205049         
48414.99483337704         0.6999999611251654        29.99999999999923            60.00000000000451             90.00000069360459            14524.50033213803         82305.48933461604         117436.3432695164             4.405148242277933         1.851283579567233         
48414.99488272826         0.6999999614965449        29.9999999999927             60.00000000000248             90.00000047892992            14524.50032896306         82305.48943649346         117436.3434490773             11.71908710437273         4.937179412217519         
48414.99497484476         0.6999999621898667        29.99999999999669            60.00000000000269             90.00000027187411            14524.50032303084         82305.48962665869         117436.3437842367             18.95632231047484         8.023554234805614         
48414.99510687964         0.6999999631833924        29.99999999999391            60.00000000000034             90.00000007586605            14524.50031453977         82305.48989921952         117436.3442646362             26.11580205775698         11.12967570939125         
48414.99527957763         0.6999999644827178        30.00000000001026            60.00000000001077             89.99999988965912            14524.50030344234         82305.49025571292         117436.3448929855             33.34669745455355         14.34235045075327         
48414.99549220958         0.6999999660824066        29.99999999999368            59.9999999999974              89.99999971603965            14524.50028978301         82305.49069463614         117436.3456666317             40.68223499276136         17.70388673294408         
48414.9957138836          0.6999999677502893        29.999999999985              59.99999999998674             89.99999957465508            14524.50027553468         82305.49115223251         117436.3464731769             47.30808704286537         20.85186911690819         
