sat4.Earth.SMA	sat4.Earth.ECC	sat4.Earth.RadPer	sat4.Earth.Energy	sat4.Earth.HMAG	sat4.Earth.RMAG	sat4.EarthMJ2000Eq.VMAG	sat4.Earth.TA	sat4.EarthMJ2000Eq.FPA	Column1
675913.2119	0.98301618	11479.58824	-0.294860667	95256.62101	421956.558	1.139988936	164.2374975	11.42167063	
675508.1885	0.982974661	11500.75588	-0.295037461	95343.40604	424965.6184	1.133950448	164.3072343	11.41144033	
675106.7027	0.982934099	11521.30383	-0.29521292	95427.56518	427958.9144	1.127994621	164.3764065	11.40137777	
674709.0902	0.982894473	11541.25425	-0.295386891	95509.19685	430936.659	1.122119472	164.4450157	11.39148301	
674315.6356	0.982855761	11560.62871	-0.295559246	95588.39644	433899.0603	1.116323081	164.5130636	11.38175618	
673926.5779	0.982817938	11579.44816	-0.295729872	95665.25616	436846.3214	1.110603587	164.5805522	11.37219745	
673542.116	0.982780983	11597.73287	-0.295898677	95739.86502	439778.6406	1.104959186	164.6474837	11.36280698	
673162.4132	0.982744874	11615.50242	-0.296065581	95812.30876	442696.2116	1.099388129	164.7138608	11.35358493	
672787.6014	0.982709587	11632.77573	-0.29623052	95882.66987	445599.2234	1.093888721	164.7796862	11.34453142	
672417.7846	0.9826751	11649.57101	-0.296393441	95951.02762	448487.861	1.088459319	164.8449631	11.33564651	
672053.0429	0.982641391	11665.9058	-0.296554302	96017.45812	451362.3048	1.083098328	164.9096948	11.32693022	
671693.4348	0.98260844	11681.79697	-0.296713069	96082.03435	454222.7312	1.077804204	164.9738849	11.31838247	
671339	0.982576223	11697.2607	-0.29686972	96144.82629	457069.3126	1.072575447	165.0375372	11.31000313	
670989.7623	0.982544722	11712.31256	-0.297024235	96205.90094	459902.2178	1.067410605	165.1006557	11.30179201	
670645.7311	0.982513916	11726.96746	-0.297176604	96265.32247	462721.6115	1.062308268	165.1632445	11.29374881	
670306.9034	0.982483785	11741.23971	-0.297326821	96323.1523	465527.6549	1.057267067	165.2253081	11.28587316	
669973.266	0.98245431	11755.14302	-0.297474886	96379.44918	468320.5057	1.052285676	165.286851	11.27816464	
669644.7961	0.982425473	11768.69055	-0.297620801	96434.26932	471100.3182	1.047362808	165.3478778	11.27062273	
669321.4633	0.982397255	11781.89488	-0.297764575	96487.66649	473867.2433	1.042497212	165.4083932	11.26324684	
669003.2305	0.98236964	11794.76807	-0.297906216	96539.6921	476621.4288	1.037687675	165.4684022	11.25603634	
668690.055	0.982342609	11807.32169	-0.298045738	96590.39533	479363.0193	1.032933021	165.5279097	11.2489905	
668381.8893	0.982316147	11819.5668	-0.298183155	96639.82321	482092.1564	1.028232106	165.5869208	11.24210854	
668078.6819	0.982290239	11831.51401	-0.298318486	96688.02073	484808.9787	1.023583819	165.6454406	11.23538965	
667780.3782	0.982264868	11843.17347	-0.298451747	96735.03093	487513.6221	1.018987083	165.7034743	11.22883292	
667486.9207	0.982240019	11854.55491	-0.29858296	96780.89498	490206.2195	1.014440849	165.761027	11.22243742	
667198.25	0.982215679	11865.66766	-0.298712146	96825.65229	492886.9013	1.009944102	165.8181041	11.21620219	
666914.3051	0.982191834	11876.52066	-0.298839325	96869.34058	495555.7952	1.005495851	165.8747108	11.21012618	
666635.0237	0.98216847	11887.12248	-0.298964521	96911.99596	498213.0263	1.001095135	165.9308523	11.20420835	
666360.3426	0.982145574	11897.48133	-0.299087758	96953.65303	500858.7175	0.996741021	165.986534	11.19844761	
666090.1983	0.982123134	11907.60508	-0.299209058	96994.34494	503492.9889	0.992432601	166.0417612	11.19284282	
665824.5266	0.982101138	11917.50132	-0.299328446	97034.10344	506115.9585	0.988168991	166.096539	11.18739285	
665563.2637	0.982079574	11927.17729	-0.299445945	97072.959	508727.7421	0.983949333	166.1508729	11.18209651	
665306.3457	0.982058431	11936.63996	-0.299561581	97110.94084	511328.4532	0.979772791	166.2047679	11.17695262	
665053.7092	0.982037697	11945.89604	-0.299675377	97148.07699	513918.203	0.975638553	166.2582293	11.17195997	
664805.2912	0.982017363	11954.95195	-0.299787356	97184.39437	516497.1008	0.971545827	166.3112624	11.16711732	
664561.0293	0.981997419	11963.81389	-0.299897544	97219.91884	519065.2539	0.967493845	166.3638721	11.16242345	
664320.862	0.981977854	11972.4878	-0.300005964	97254.67525	521622.7676	0.963481856	166.4160636	11.1578771	
664084.7284	0.981958658	11980.97942	-0.30011264	97288.68749	524169.7451	0.959509132	166.467842	11.15347702	
663852.5687	0.981939824	11989.29426	-0.300217594	97321.97854	526706.2879	0.955574963	166.5192122	11.14922196	
663624.3237	0.981921341	11997.43763	-0.30032085	97354.57052	529232.4957	0.951678656	166.5701792	11.14511065	
663399.9357	0.981903202	12005.41466	-0.30042243	97386.48475	531748.4663	0.947819538	166.6207479	11.14114184	
663179.3475	0.981885397	12013.2303	-0.300522357	97417.74175	534254.2957	0.943996953	166.6709231	11.13731425	
662962.5035	0.98186792	12020.8893	-0.300620653	97448.36131	536750.0786	0.94021026	166.7207096	11.13362664	
662749.3488	0.981850761	12028.39627	-0.300717339	97478.36254	539235.9076	0.936458837	166.7701122	11.13007775	
662539.8298	0.981833914	12035.75566	-0.300812437	97507.76387	541711.874	0.932742076	166.8191354	11.12666633	
662333.8938	0.981817371	12042.97178	-0.300905967	97536.58311	544178.0674	0.929059384	166.8677839	11.12339115	
662131.4895	0.981801124	12050.04878	-0.30099795	97564.83746	546634.5758	0.925410185	166.9160622	11.12025096	
661932.5665	0.981785168	12056.99069	-0.301088405	97592.54359	549081.4861	0.921793913	166.9639748	11.11724455	
661737.0757	0.981769494	12063.80142	-0.301177353	97619.71761	551518.8832	0.918210021	167.0115261	11.11437071	
661544.9689	0.981754098	12070.48474	-0.301264812	97646.37511	553946.8511	0.914657971	167.0587204	11.11162824	
661356.199	0.981738972	12077.04432	-0.301350802	97672.53122	556365.472	0.911137242	167.1055621	11.10901595	
661170.7201	0.981724109	12083.48373	-0.30143534	97698.20062	558774.8271	0.907647321	167.1520552	11.10653266	
660988.4874	0.981709505	12089.80643	-0.301518445	97723.39753	561174.9961	0.904187712	167.198204	11.10417722	
660809.457	0.981695153	12096.01576	-0.301600134	97748.13577	563566.0575	0.900757927	167.2440125	11.10194849	
660633.5861	0.981681048	12102.11502	-0.301680425	97772.42879	565948.0884	0.897357492	167.2894847	11.09984532	
660460.8327	0.981667183	12108.10737	-0.301759334	97796.28964	568321.1649	0.893985944	167.3346246	11.09786662	
660291.1562	0.981653554	12113.99591	-0.301836877	97819.73104	570685.3617	0.890642828	167.3794361	11.09601127	
660124.5166	0.981640155	12119.78368	-0.301913072	97842.76538	573040.7525	0.887327702	167.423923	11.09427822	
659960.875	0.981626981	12125.47361	-0.301987933	97865.40471	575387.4099	0.884040135	167.468089	11.09266638	
659800.1933	0.981614027	12131.06858	-0.302061477	97887.66082	577725.4051	0.880779704	167.5119378	11.09117473	
659642.4344	0.981601288	12136.5714	-0.302133717	97909.54518	580054.8085	0.877545995	167.5554731	11.08980222	
