DefaultSC.Earth.SMA       DefaultSC.Earth.ECC       DefaultSC.Earth.SemilatusRectum   DefaultSC.EarthMJ2000Eq.INC   DefaultSC.EarthMJ2000Eq.AOP   DefaultSC.EarthMJ2000Eq.RAAN   DefaultSC.Earth.RMAG      DefaultSC.EarthMJ2000Eq.VMAG   DefaultSC.EarthMJ2000Eq.FPA   DefaultSC.Earth.TA        DefaultSC.Earth.MA        DefaultSC.Earth.EA        DefaultSC.Earth.HA        
-15002.33352170426        1.499807882551263         18744.27082572926                 30.01492667124747             90.01389984333666             44.98960622251386              34263.22130312947         7.059474912534804              159.0620171309567             252.4225844181751         -86.01822318816586        0                         -81.36303207298981        
-15002.24818281871        1.499810745990003         18744.2930589774                  30.01498451770495             90.01386996800569             44.98957214686772              30986.29241318355         7.231660549347314              157.3102514362143             254.7269988892494         -76.29217283318729        0                         -76.88710641186927        
-15002.13099102684        1.499814518985702         18744.31642348644                 30.01504506630019             90.01382901352608             44.98954193807969              28016.29399186671         7.417849386785213              155.4224202322795             257.2521835969661         -67.57772681582685        0                         -72.45205289105382        
-15001.97062773683        1.499819491080716         18744.33980497184                 30.01510518603824             90.01377771800544             44.98951774155891              25326.74783336016         7.618826059776211              153.3873075527161             260.0210032986477         -59.76801287913027        0                         -68.05566892586874        
-15001.75297277842        1.499826012238136         18744.36130583087                 30.01515957942262             90.01372047693528             44.98950145742073              22899.23763952782         7.834773911169241              151.1977019725857             263.0516149802365         -52.78151006021049        0                         -63.70530689648671        
-15001.41976071921        1.499835669859886         18744.37954976969                 30.01520364706978             90.01366286167904             44.98949332279766              20468.23717924708         8.094383381712971              148.5520835214423             266.7809448955173         -45.83379024754786        0                         -58.89334876948828        
-15001.07471913166        1.499845390809157         18744.38584542798                 30.01521543071318             90.01364120204619             44.98949241206284              18758.05421905511         8.310871407329534              146.3264775845098             269.9721641035874         -40.96423238777811        0                         -55.16601632412667        
-15000.65045800137        1.499857066087442         18744.38107398391                 30.01519608579                90.01366598613927             44.98949093791745              17238.16891592544         8.533374062699334              144.0120900154003             273.3397482870408         -36.63674256566027        0                         -51.55640147001845        
-15000.14177007572        1.499870754716772         18744.36137044754                 30.01513484509785             90.01376888317486             44.98947950046586              15891.71266697266         8.760004480605314              141.6173271397479             276.87366936246           -32.78964860937956        0                         -48.06991269658023        
-14999.53923079065        1.499886611257642         18744.32189466951                 30.01501811690464             90.01399441852099             44.98944290240077              14685.3377232044          8.992200945654183              139.1132078221274             280.6190782619188         -29.31632140196746        0                         -44.65937106084687        
-14998.83636609656        1.499904675352122         18744.25631752642                 30.01482816138728             90.01440615505901             44.98935686676622              13594.7399565091          9.231241334611994              136.4674580486132             284.6279259823668         -26.13617613979113        0                         -41.28308202597468        
-14997.9652150583         1.49992643588217          18744.14666374619                 30.01451419261625             90.01516467441064             44.98916345667791              12526.58582224448         9.498298972687468              133.4079625671781             289.3243638749332         -22.95851183928583        0                         -37.63023873353698        
-14997.00148851696        1.499949608844351         18743.9847500188                  30.0140541775215              90.01639882025486             44.98879118456285              11562.20854189088         9.773817947215324              130.1034475549018             294.4632023658282         -20.00147404708639        0                         -33.94422603014617        
-14996.01266353131        1.499972075631457         18743.75957855471                 30.01341836116631             90.01828396202968             44.98813230636954              10703.15992961652         10.05301882887997              126.5516544682596             300.0551500370203         -17.25212944004995        0                         -30.23660359862548        
-14995.2190835675         1.499988524902795         18743.50764164413                 30.01271091268488             90.02057919453915             44.98722201789128              10045.08952218476         10.29291420602477              123.2807190987676             305.2605799830446         -15.02813878488351        0                         -27.01908510156141        
-14994.54619215524        1.499999995318956         18743.18252962367                 30.0118034783846              90.02379030364234             44.98578870980685              9434.70908227779          10.53943227275268              119.6283697207464             311.1282506733287         -12.81832817601326        0                         -23.61400369248283        
-14994.15691104424        1.500002622391734         18742.81410056781                 30.01078267015831             90.02774950100576             44.98379951264535              8923.81083709734          10.76651516482173              115.8913826373466             317.1841666143898         -10.79197285188591        0                         -20.30141865089686        
-14994.10236242518        1.499995311844579         18742.41706931416                 30.00969228683695             90.03242293982014             44.98116310213686              8500.823428083368         10.97101040449144              112.0625297764625             323.4355203815959         -8.907136246791659        0                         -17.05544206316703        
-14994.39089135386        1.499978107038629         18742.00380651747                 30.00856950812853             90.03785236668016             44.97772784386007              8150.485693911851         11.15318491147857              108.0453412375781             330.0363985017767         -7.089499947180423        0                         -13.77992128668749        
