sat_joseph_le.Earth.TA    sat_joseph_le.EarthMJ2000Eq.X   sat_joseph_le.EarthMJ2000Eq.Y   sat_joseph_le.EarthMJ2000Eq.VX   sat_joseph_le.EarthMJ2000Eq.VY   sat_joseph_le.Earth.OrbitPeriod   sat_joseph_le.Earth.Energy   sat_joseph_le.Earth.SemilatusRectum   sat_joseph_le.EarthMJ2000Eq.FPA   sat_joseph_le.Earth.EA    sat_joseph_le.ElapsedSecs   sat_joseph_le.ElapsedDays   
154.235751296585          -29168.61912239058              14082.44032574514               -2.514136841963484               -1.148925421894962               35820.91922101568                 -8.485757486441429           11915.8329531127                      50.33071984686128                 122.6914221679625         7170.69577089278            0.08299416401496273         
157.3790825543039         -31236.48207474929              13020.3380691078                -2.224758446796084               -1.278973933243287               35820.71919812971                 -8.485789076056982           11915.8341150722                      52.52172082593773                 128.9146983059839         8043.975214613602           0.09310156498395372         
160.5205907736404         -33206.39446059566              11750.27121341073               -1.928858411386833               -1.392898806721542               35820.55823155505                 -8.485814497722551           11915.83523772108                     55.32103450322177                 135.400993868218          8993.168528156821           0.1040875987055188          
163.6670761160836         -35028.14602333899              10269.72743206279               -1.626678031188998               -1.490579027413781               35820.43045490746                 -8.485834677794282           11915.83632555541                     58.84040834923642                 142.1484285942969         10018.6872528051            0.1159570283889479          
166.8253123157638         -36646.59594279544              8583.45046089111                -1.318437058362683               -1.571797386086788               35820.33122026236                 -8.485850350242025           11915.83738249333                     63.19210653056415                 149.1496086783029         11118.65857351804           0.1286881779342366          
170.0071432690931         -38005.92433478627              6701.939835610491               -1.003844387921361               -1.636325448345526               35820.25686285881                 -8.485862093794156           11915.83841330078                     68.4726214061829                  156.4024890129539         12290.36503150128           0.1422495952720055          
173.2346026787934         -39051.50038506035              4638.239582624416               -0.6815817011744991              -1.683838749361935               35820.20471550402                 -8.48587032965168            11915.83942483067                     74.73638104448624                 163.9228392895573         13532.2530144942            0.156623298778868           
176.5447225812172         -39727.63149858297              2404.44503627662                -0.3488268553784322              -1.713644486806521               35820.1733312092                  -8.48587528631888            11915.84042698865                     81.95766002453695                 171.7560007021556         14845.93794479733           0.1718279854721914          
179.9938557039572         -39970.66015930866              10.16507862874064               -0.0008738232023629278           -1.724208843324599               35820.16294464941                 -8.485876926718021           11915.84143337445                     89.985533785596                   179.9853193397321         16237.41089111427           0.1879329964249337          
183.6390960280047         -39701.98243101521              -2519.024237158101              0.3668425354366272               -1.712601944718771               35820.17615557667                 -8.485874840253134           11915.84245550365                     98.45970916491925                 188.6812266626084         17707.55803916836           0.2049485884163005          
